cluster_id,R_id,smart,dE,adj_fwd
0,48197,[CH3:1][CH2:2][CH2:3][CH2:4][Sn:5]([CH2:6][CH2:9][CH2:10][CH3:11])([CH2:7][CH2:12][CH2:13][CH3:14])[c:8]1[n:15][cH:17][cH:18][cH:19][n:16]1.[CH3:20][c:21]1[cH:22][cH:24][c:25]([I:26])[c:27]([C:28](=[O:29])[N:30]2[CH2:31][CH2:33][CH2:34][CH:35]([CH3:36])[CH:32]2[CH2:37][N:38]2[C:39](=[O:41])[c:42]3[cH:43][cH:45][cH:46][cH:47][c:44]3[C:40]2=[O:48])[cH:23]1>>[CH3:1][CH2:2][CH2:3][CH2:4][Sn:5]([CH2:6][CH2:9][CH2:10][CH3:11])([CH2:7][CH2:12][CH2:13][CH3:14])[I:26].[c:8]1(-[c:25]2[cH:24][cH:22][c:21]([CH3:20])[cH:23][c:27]2[C:28](=[O:29])[N:30]2[CH2:31][CH2:33][CH2:34][CH:35]([CH3:36])[CH:32]2[CH2:37][N:38]2[C:39](=[O:41])[c:42]3[cH:43][cH:45][cH:46][cH:47][c:44]3[C:40]2=[O:48])[n:15][cH:17][cH:18][cH:19][n:16]1,-103.62,0.0
0,27929,[CH3:1][CH2:2][CH2:3][CH2:4][Sn:5]([CH2:6][CH2:9][CH2:10][CH3:11])([CH2:7][CH2:12][CH2:13][CH3:14])[c:8]1[n:15][cH:17][cH:18][c:19]([N:20]2[CH2:21][CH2:23][O:24][CH2:25][CH2:22]2)[n:16]1.[CH3:26][S:27][c:28]1[n:29][n:31][c:32](-[c:33]2[cH:34][cH:36][c:37]3[c:38]([cH:35]2)[c:40]([I:41])[cH:42][n:39]3[C:43](=[O:44])[O:45][C:46]([CH3:47])([CH3:48])[CH3:49])[s:30]1>>[CH3:1][CH2:2][CH2:3][CH2:4][Sn:5]([CH2:6][CH2:9][CH2:10][CH3:11])([CH2:7][CH2:12][CH2:13][CH3:14])[I:41].[c:8]1(-[c:40]2[c:38]3[cH:35][c:33](-[c:32]4[s:30][c:28]([S:27][CH3:26])[n:29][n:31]4)[cH:34][cH:36][c:37]3[n:39]([C:43](=[O:44])[O:45][C:46]([CH3:47])([CH3:48])[CH3:49])[cH:42]2)[n:15][cH:17][cH:18][c:19]([N:20]2[CH2:21][CH2:23][O:24][CH2:25][CH2:22]2)[n:16]1,-63.04,0.0
0,15124,[CH3:1][CH2:2][CH2:3][CH2:4][Sn:5]([CH2:6][CH2:9][CH2:10][CH3:11])([CH2:7][CH2:12][CH2:13][CH3:14])[c:8]1[cH:15][cH:17][cH:18][cH:19][n:16]1.[CH3:20][O:21][C:22](=[O:23])[c:24]1[c:25]([I:27])[cH:28][cH:29][c:30]([CH3:31])[c:26]1[F:32]>>[CH3:1][CH2:2][CH2:3][CH2:4][Sn:5]([CH2:6][CH2:9][CH2:10][CH3:11])([CH2:7][CH2:12][CH2:13][CH3:14])[I:27].[c:8]1(-[c:25]2[c:24]([C:22]([O:21][CH3:20])=[O:23])[c:26]([F:32])[c:30]([CH3:31])[cH:29][cH:28]2)[cH:15][cH:17][cH:18][cH:19][n:16]1,-79.97,0.0
0,48033_rev,[F:1][C:2]([F:3])([F:4])[c:8]1[c:7](=[O:6])[nH:9][c:13](=[O:14])[nH:12][cH:11]1.[I:5][H:10]>>[F:1][C:2]([F:3])([F:4])[I:5].[O:6]=[c:7]1[c:8]([H:10])[cH:11][nH:12][c:13](=[O:14])[nH:9]1,13.7,8.06
0,25451,[CH3:1][c:2]1[cH:3][c:5]([NH2:6])[c:7]2[cH:8][n:10][n:11]([H:12])[c:9]2[cH:4]1.[F:13][c:14]1[cH:15][cH:17][c:18]([I:19])[c:20]([F:21])[cH:16]1>>[CH3:1][c:2]1[cH:3][c:5]([NH2:6])[c:7]2[cH:8][n:10][n:11](-[c:18]3[cH:17][cH:15][c:14]([F:13])[cH:16][c:20]3[F:21])[c:9]2[cH:4]1.[H:12][I:19],-21.81,8.44
0,35511,[CH3:1][C:2]1([CH3:3])[CH:4]2[CH2:6][CH2:8][C:5]1([CH3:9])[c:10]1[c:7]2[c:15](=[O:22])[n:13](-[c:14]2[cH:16][cH:18][cH:19][cH:20][c:17]2[Cl:21])[n:11]1[H:12].[CH3:23][CH2:24][I:25]>>[CH3:1][C:2]1([CH3:3])[CH:4]2[CH2:6][CH2:8][C:5]1([CH3:9])[c:10]1[c:7]2[c:15](=[O:22])[n:13](-[c:14]2[cH:16][cH:18][cH:19][cH:20][c:17]2[Cl:21])[n:11]1[CH2:24][CH3:23].[H:12][I:25],-15.82,8.49
0,26824,[CH2:1]=[CH:2][CH2:3][I:4].[CH3:5][C:6]1([CH3:7])[CH:8]2[CH2:10][CH2:12][C:9]1([CH3:13])[c:14]1[c:11]2[c:19](=[O:27])[n:17](-[c:18]2[cH:20][cH:22][c:23]([F:24])[cH:25][c:21]2[F:26])[n:15]1[H:16]>>[CH2:1]=[CH:2][CH2:3][n:15]1[c:14]2[c:11]([c:19](=[O:27])[n:17]1-[c:18]1[cH:20][cH:22][c:23]([F:24])[cH:25][c:21]1[F:26])[CH:8]1[C:6]([CH3:5])([CH3:7])[C:9]2([CH3:13])[CH2:12][CH2:10]1.[I:4][H:16],-14.2,8.6
0,3244,[C:1](#[C:2][c:4]1[cH:5][cH:7][cH:8][cH:9][cH:6]1)[H:3].[O:10]=[c:11]1[nH:12][c:14]2[n:15][cH:17][cH:18][c:19]([Cl:20])[c:16]2[c:21]2[c:13]1[cH:25][cH:24][cH:23][cH:22]2>>[C:1](#[C:2][c:4]1[cH:5][cH:7][cH:8][cH:9][cH:6]1)[c:19]1[c:16]2[c:14]([nH:12][c:11](=[O:10])[c:13]3[c:21]2[cH:22][cH:23][cH:24][cH:25]3)[n:15][cH:17][cH:18]1.[H:3][Cl:20],-16.69,9.0
0,16016_rev,[H:1][I:12].[H:2][c:8]1[c:6]([N+:4](=[O:3])[O-:5])[n:7][c:9]([Cl:10])[nH:11]1>>[H:1][H:2].[O:3]=[N+:4]([O-:5])[c:6]1[n:7][c:9]([Cl:10])[nH:11][c:8]1[I:12],0.05,11.63
0,16016,[H:1][H:2].[O:3]=[N+:4]([O-:5])[c:6]1[n:7][c:9]([Cl:10])[nH:11][c:8]1[I:12]>>[H:1][I:12].[H:2][c:8]1[c:6]([N+:4](=[O:3])[O-:5])[n:7][c:9]([Cl:10])[nH:11]1,0.05,11.68
