cluster_id,R_id,smart,dE,raw_fwd,raw_bwd,adj_fwd,adj_bwd,note
32,41476,[N:1]([C:2](=[S:5])[NH:6][c:7]1[cH:8][cH:10][c:11]([Br:12])[n:13][cH:9]1)([H:3])[H:4].[O:14]=[C:15]([CH:16]([Br:18])[H:19])[c:17]1[cH:20][cH:22][cH:23][n:24][cH:21]1>>[H:3][Br:18].[H:4][O:14][H:19].[n:1]1[c:2]([NH:6][c:7]2[cH:8][cH:10][c:11]([Br:12])[n:13][cH:9]2)[s:5][cH:16][c:15]1-[c:17]1[cH:20][cH:22][cH:23][n:24][cH:21]1,-14.68,0.00,0.00,0.00,14.68,Success
32,32084,[CH2:1]=[CH:2][CH2:3][CH2:4][N:5]([N:6]([H:8])[H:9])[c:7]1[n:10][c:12]([Cl:13])[n:14][cH:15][c:11]1[C:16](=[O:17])[NH:18][c:19]1[c:20]([CH3:22])[cH:23][cH:24][cH:25][c:21]1[CH3:26]>>[CH2:1]=[CH:2][CH2:3][CH2:4][n:5]1[n:6][c:16]([NH:18][c:19]2[c:20]([CH3:22])[cH:23][cH:24][cH:25][c:21]2[CH3:26])[c:11]2[c:7]1[n:10][c:12]([Cl:13])[n:14][cH:15]2.[H:8][O:17][H:9],-14.34,183.97,168.89,183.97,198.31,Success
32,7856,[N:1]([C:2](=[S:5])[NH:6][c:7]1[cH:8][cH:10][cH:11][c:12]([OH:13])[cH:9]1)([H:3])[H:4].[O:14]=[C:15]([CH:16]([Br:18])[H:19])[c:17]1[cH:20][cH:22][n:23][cH:24][cH:21]1>>[H:3][Br:18].[H:4][O:14][H:19].[n:1]1[c:2]([NH:6][c:7]2[cH:8][cH:10][cH:11][c:12]([OH:13])[cH:9]2)[s:5][cH:16][c:15]1-[c:17]1[cH:20][cH:22][n:23][cH:24][cH:21]1,-18.14,20.64,62.05,20.64,38.78,Success
32,16035,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:8][cH:9][c:10]([C:11]([N:12]([H:14])[H:15])=[S:13])[cH:7]1.[O:16]=[C:17]([CH:18]([Br:20])[H:21])[c:19]1[cH:22][cH:24][c:25]([C:26]([F:28])([F:29])[F:30])[cH:27][cH:23]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:8][cH:9][c:10](-[c:11]2[n:12][c:17](-[c:19]3[cH:22][cH:24][c:25]([C:26]([F:28])([F:29])[F:30])[cH:27][cH:23]3)[cH:18][s:13]2)[cH:7]1.[H:14][O:16][H:21].[H:15][Br:20],-23.09,0.00,0.00,0.00,23.09,Success
32,45073,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][C:9]1([c:10]2[cH:13][cH:15][c:16](-[c:17]3[o:19][c:21]4[cH:22][cH:24][n:25][c:26][c:23]4[c:20]3-[c:27]3[cH:28][cH:30][cH:31][cH:32][cH:29]3)[cH:18][cH:14]2)[CH2:11][CH2:33][CH2:12]1.[c:34]1[cH:35][n:37][nH:38][cH:36]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][C:9]1([c:10]2[cH:13][cH:15][c:16](-[c:17]3[o:19][c:21]4[cH:22][cH:24][n:25][c:26](-[c:34]5[cH:35][n:37][nH:38][cH:36]5)[c:23]4[c:20]3-[c:27]3[cH:28][cH:30][cH:31][cH:32][cH:29]3)[cH:18][cH:14]2)[CH2:11][CH2:33][CH2:12]1,-52.24,68.59,52.95,68.59,120.83,Success
32,15877,[CH3:1][S:2][c:3]1[n:4][cH:6][cH:7][c:8]([C:9]([Br:10])([C:11](=[O:13])[c:14]2[cH:15][c:17]([Cl:18])[cH:19][c:20]([NH:21][C:22](=[O:23])[C:24]([CH3:25])([CH3:26])[CH3:27])[c:16]2[F:28])[H:12])[n:5]1.[NH2:29][C:30]([N:31]([H:33])[H:34])=[S:32]>>[Br:10][H:34].[CH3:1][S:2][c:3]1[n:4][cH:6][cH:7][c:8](-[c:9]2[c:11](-[c:14]3[cH:15][c:17]([Cl:18])[cH:19][c:20]([NH:21][C:22](=[O:23])[C:24]([CH3:25])([CH3:26])[CH3:27])[c:16]3[F:28])[n:31][c:30]([NH2:29])[s:32]2)[n:5]1.[H:12][O:13][H:33],2.96,22.58,45.65,48.61,45.65,Success
32,8576,[CH3:1][O:2][c:3]1[cH:4][cH:6][c:7]([CH2:8][n:10]2[cH:11][c:13]3[c:14]([n:12]2)[CH2:16][CH2:17][CH2:18][CH2:19][C:20]([Br:21])([H:22])[C:15]3=[O:23])[cH:9][cH:5]1.[CH3:24][c:25]1[cH:26][cH:28][n:29][c:30]([NH:31][C:32]([N:33]([H:35])[H:36])=[S:34])[n:27]1>>[Br:21][H:36].[CH3:1][O:2][c:3]1[cH:4][cH:6][c:7]([CH2:8][n:10]2[cH:11][c:13]3[c:14]([n:12]2)[CH2:16][CH2:17][CH2:18][CH2:19][c:20]2[c:15]-3[n:33][c:32]([NH:31][c:30]3[n:27][c:25]([CH3:24])[cH:26][cH:28][n:29]3)[s:34]2)[cH:9][cH:5]1.[H:22][O:23][H:35],,,,,,Calc Error
32,3870,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:8][c:9]([C:10]([N:12]([H:14])[H:15])=[S:13])[cH:11][cH:7]1.[O:16]=[C:17]([CH:18]([Br:20])[H:21])[c:19]1[cH:22][cH:24][c:25]([C:26]([F:28])([F:29])[F:30])[cH:27][cH:23]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:8][c:9](-[c:10]2[n:12][c:17](-[c:19]3[cH:22][cH:24][c:25]([C:26]([F:28])([F:29])[F:30])[cH:27][cH:23]3)[cH:18][s:13]2)[cH:11][cH:7]1.[H:14][O:16][H:21].[H:15][Br:20],-26.33,0.00,0.00,0.00,26.33,Success
32,43436,[N:1]([N:2]([c:5]1[cH:7][cH:9][c:10]([N+:11](=[O:13])[O-:14])[cH:12][cH:8]1)[H:6])([H:3])[H:4].[O:15]=[C:16]([CH:17]([C:19](=[O:21])[C:22]([F:23])([F:24])[F:25])[H:20])[c:18]1[cH:26][cH:28][cH:29][o:27]1>>[H:3][O:21][H:20].[H:4][O:15][H:6].[n:1]1[n:2](-[c:5]2[cH:7][cH:9][c:10]([N+:11](=[O:13])[O-:14])[cH:12][cH:8]2)[c:16](-[c:18]2[cH:26][cH:28][cH:29][o:27]2)[cH:17][c:19]1[C:22]([F:23])([F:24])[F:25],-42.28,0.00,0.00,0.00,42.28,Success
32,26571,[CH3:1][C:2]([N:3]([H:5])[H:6])=[S:4].[CH3:7][CH2:8][O:9][C:10](=[O:11])[C:12]([Cl:13])([C:14](=[O:16])[C:17]12[CH2:18][CH:21]3[CH2:22][CH:24]([CH2:20]1)[CH2:25][CH:26]([CH2:19]2)[CH2:23]3)[H:15]>>[CH3:1][c:2]1[n:3][c:14]([C:17]23[CH2:18][CH:21]4[CH2:22][CH:24]([CH2:20]2)[CH2:25][CH:26]([CH2:19]3)[CH2:23]4)[c:12]([C:10]([O:9][CH2:8][CH3:7])=[O:11])[s:4]1.[H:5][Cl:13].[H:6][O:16][H:15],,,,,,Calc Error
