cluster_id,R_id,smart,dE,raw_fwd,raw_bwd,adj_fwd,adj_bwd,note
43,11664,[CH3:14][C:15]([CH3:16])([CH3:17])[c:18]1[cH:19][cH:21][c:22]([CH:23]=[O:25])[cH:24][cH:20]1.[CH3:1][CH2:2][c:3]1[cH:4][c:6]([CH2:7][CH2:9][NH:10][H:11])[cH:8][cH:12][c:5]1[Cl:13].[H:26][H:27]>>[CH3:1][CH2:2][c:3]1[cH:4][c:6]([CH2:7][CH2:9][NH:10][CH:23]([c:22]2[cH:21][cH:19][c:18]([C:15]([CH3:14])([CH3:16])[CH3:17])[cH:20][cH:24]2)[H:26])[cH:8][cH:12][c:5]1[Cl:13].[H:11][O:25][H:27],-26.04,0.00,0.00,0.00,26.04,Success
44,6458,[H:1][H:2].[NH:3]([c:4]1[cH:6][cH:8][c:9](-[c:10]2[c:12]([NH2:14])[n:15][c:16]([NH2:17])[n:18][c:13]2[CH2:19][OH:20])[cH:11][cH:7]1)[H:5].[O:21]=[CH:22][c:23]1[cH:24][cH:26][c:27]([Cl:28])[cH:29][cH:25]1>>[H:1][O:21][H:5].[H:2][CH:22]([NH:3][c:4]1[cH:6][cH:8][c:9](-[c:10]2[c:12]([NH2:14])[n:15][c:16]([NH2:17])[n:18][c:13]2[CH2:19][OH:20])[cH:11][cH:7]1)[c:23]1[cH:24][cH:26][c:27]([Cl:28])[cH:29][cH:25]1,15.84,312.04,231.30,247.14,231.30,Success
41,22885,[CH3:1][CH2:2][O:3][CH2:4][CH2:5][O:6][c:7]1[cH:8][c:10]([CH3:11])[c:12](-[c:13]2[cH:15][cH:17][cH:18][c:19]([CH2:20][O:21][c:22]3[cH:23][cH:25][c:26]([CH2:27][CH2:29][C:30](=[O:31])[OH:32])[c:28]([F:33])[cH:24]3)[cH:16]2)[c:14]([CH3:34])[cH:9]1.[NH2:35][H:36]>>[CH3:1][CH2:2][O:3][CH2:4][CH2:5][O:6][c:7]1[cH:8][c:10]([CH3:11])[c:12](-[c:13]2[cH:15][cH:17][cH:18][c:19]([CH2:20][O:21][c:22]3[cH:23][cH:25][c:26]([CH2:27][CH2:29][C:30](=[O:31])[NH2:35])[c:28]([F:33])[cH:24]3)[cH:16]2)[c:14]([CH3:34])[cH:9]1.[OH:32][H:36],-6.94,0.00,0.00,0.00,6.94,Success
45,47732,[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[n:6][o:8][c:9]([N:10]2[CH2:11][CH2:13][C:14](=[O:15])[CH2:16][CH2:12]2)[n:7]1.[H:17][H:18].[NH:19]([CH:20]1[CH2:22][CH2:23]1)[H:21]>>[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[n:6][o:8][c:9]([N:10]2[CH2:11][CH2:13][C:14]([H:17])([NH:19][CH:20]3[CH2:22][CH2:23]3)[CH2:16][CH2:12]2)[n:7]1.[O:15]([H:18])[H:21],,,,,,Calc Error
40,48702,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][c:9]1[cH:10][cH:12][c:13](-[c:14]2[cH:16][cH:18][c:19]([C:20](=[O:22])[OH:23])[cH:21][cH:17]2)[cH:15][cH:11]1.[CH3:24][CH2:25][CH:26]([CH3:27])[CH2:28][O:29][C:30](=[O:31])[O:32][c:33]1[cH:34][cH:36][c:37]([O:38][H:40])[cH:39][cH:35]1>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][c:9]1[cH:10][cH:12][c:13](-[c:14]2[cH:16][cH:18][c:19]([C:20](=[O:22])[O:38][c:37]3[cH:36][cH:34][c:33]([O:32][C:30]([O:29][CH2:28][CH:26]([CH2:25][CH3:24])[CH3:27])=[O:31])[cH:35][cH:39]3)[cH:21][cH:17]2)[cH:15][cH:11]1.[OH:23][H:40],-37.62,0.00,0.00,0.00,37.62,Success
48,15848,[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[n:6][c:8]([N:9]2[CH2:11][CH2:13][N:14]([CH2:15][CH2:17][CH2:18][CH2:19][NH:20][H:21])[CH2:16][CH2:12]2)[cH:10][c:22]([C:23]([F:24])([F:25])[F:26])[n:7]1.[O:27]=[C:28]([OH:29])[CH:30]1[CH2:31][CH2:33][N:34]([CH2:35][c:37]2[cH:38][cH:40][cH:41][cH:42][cH:39]2)[CH2:36][CH2:32]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[n:6][c:8]([N:9]2[CH2:11][CH2:13][N:14]([CH2:15][CH2:17][CH2:18][CH2:19][NH:20][C:28](=[O:27])[CH:30]3[CH2:31][CH2:33][N:34]([CH2:35][c:37]4[cH:38][cH:40][cH:41][cH:42][cH:39]4)[CH2:36][CH2:32]3)[CH2:16][CH2:12]2)[cH:10][c:22]([C:23]([F:24])([F:25])[F:26])[n:7]1.[H:21][OH:29],-7.59,0.00,0.00,0.00,7.59,Success
51,36122,[CH3:1][O:2][C:3]1=[C:4]([O:6][CH3:8])[C:7](=[O:9])[C:10]([CH2:11][c:13]2[cH:14][cH:16][c:17]([O:18][C:20]([CH3:21])=[O:22])[c:19]([C:23](=[O:24])[OH:25])[cH:15]2)=[C:12]([CH3:26])[C:5]1=[O:27].[NH:28]([c:29]1[cH:31][cH:33][c:34]([Cl:35])[cH:36][cH:32]1)[H:30]>>[CH3:1][O:2][C:3]1=[C:4]([O:6][CH3:8])[C:7](=[O:9])[C:10]([CH2:11][c:13]2[cH:14][cH:16][c:17]([O:18][C:20]([CH3:21])=[O:22])[c:19]([C:23](=[O:24])[NH:28][c:29]3[cH:31][cH:33][c:34]([Cl:35])[cH:36][cH:32]3)[cH:15]2)=[C:12]([CH3:26])[C:5]1=[O:27].[OH:25][H:30],-2.89,0.00,0.00,0.00,2.89,Success
54,7379,[CH3:1][NH:2][H:3].[NH2:4][c:5]1[cH:6][c:8]([Br:9])[cH:10][n:11][c:7]1[C:12](=[O:13])[OH:14]>>[CH3:1][NH:2][C:12]([c:7]1[c:5]([NH2:4])[cH:6][c:8]([Br:9])[cH:10][n:11]1)=[O:13].[H:3][OH:14],-5.60,21.80,50.89,21.80,27.40,Success
55,4396,[CH3:14][C:15]([CH3:16])([CH3:17])[O:18][C:19](=[O:20])[NH:21][CH2:22][CH2:23][NH:24][H:25].[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:8][cH:9][c:10]([C:11](=[O:12])[OH:13])[cH:7]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:8][cH:9][c:10]([C:11](=[O:12])[NH:24][CH2:23][CH2:22][NH:21][C:19]([O:18][C:15]([CH3:14])([CH3:16])[CH3:17])=[O:20])[cH:7]1.[OH:13][H:25],-11.64,0.00,0.00,0.00,11.64,Success
50,9533,[CH3:1][O:2][c:3]1[cH:4][c:6]([O:7][CH3:9])[n:8][c:10](-[n:11]2[c:12](=[S:14])[nH:15][c:16]3[cH:17][c:19]([C:20](=[O:22])[OH:23])[cH:21][cH:24][c:18]3[c:13]2=[O:25])[n:5]1.[CH3:26][S:27](=[O:28])(=[O:29])[c:30]1[cH:31][cH:33][c:34]([CH2:35][NH:37][H:38])[cH:36][cH:32]1>>[CH3:1][O:2][c:3]1[cH:4][c:6]([O:7][CH3:9])[n:8][c:10](-[n:11]2[c:12](=[S:14])[nH:15][c:16]3[cH:17][c:19]([C:20](=[O:22])[NH:37][CH2:35][c:34]4[cH:33][cH:31][c:30]([S:27]([CH3:26])(=[O:28])=[O:29])[cH:32][cH:36]4)[cH:21][cH:24][c:18]3[c:13]2=[O:25])[n:5]1.[OH:23][H:38],-3.03,107.33,142.59,107.33,110.36,Success
